iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
KOR,,,,,0.0027918942344471558,0.002535433896320166,0.35688616548857,0.3876350443381465,0.0,0.0,0.146,0.2610357142857111,0.0,0.0,4.560292623929575e-05,5.550437380143986e-05
KWT,,,,,0.0,2.641029701214113e-05,0.361609584872794,0.3871305106416879,0.0,0.0,0.1,0.28910714285714234,0.0,0.0,0.013881223042340182,0.010246800142403317
LAO,0.27,0.27,0.215,0.215,0.03762854707426261,0.06543257396328557,0.485779677784065,0.3914333896921671,0.0,0.0,0.11,0.22767857142856954,,,0.016775165547614428,0.017094821368431056
LBN,0.010999999999999899,0.010999999999999899,,,0.3454210516706792,0.35014637764617096,0.399068685796453,0.39556551511355703,0.024629854621852503,0.02936707311544365,0.188,0.4531964285714283,0.2846453352605477,0.17234775416277395,0.032101484646299784,0.027397960406537823
LBR,0.3370000000000001,0.3370000000000001,0.45999999999999996,0.45999999999999996,0.012892634839154742,0.056349119216514545,0.537843878517471,0.35537974019993346,0.0005344909695078247,0.00045279428984671224,0.557,0.31930357142857607,0.0,0.0,0.018176256236396092,0.019992994951310038
LBY,,,,,0.6086119769576657,0.5896986512802609,0.415618941696469,0.4796136494113602,0.33897740191298686,0.2754701904008374,0.146,0.4908571428571444,0.08885218214331538,0.2966629438131091,0.04748393278275925,0.04590590744080716
LCA,0.07999999999999996,0.07999999999999996,,,0.03009279864696457,0.0559474010501957,0.375102915547686,0.49069503859493724,0.0,0.0,0.393,0.1965,0.0,0.0,0.01858198326508813,0.032424874325973956
LIE,0.0,0.0,,,0.012360939431396788,0.010151374423505975,,,0.0,0.0,,,0.0,0.0,,0.001648125257519571
LKA,0.028000000000000025,0.028000000000000025,0.26749999999999996,0.26749999999999996,0.047673412118999815,0.08651747228785053,0.474665403651957,0.37053174442863235,0.011635334915130498,0.009112890886744267,0.116,0.31442857142856984,0.0037406461033035227,0.009765342800255249,0.13409563789012593,0.13066684609500087
LSO,0.5549999999999999,0.5549999999999999,0.065,0.065,0.31457014840702774,0.25696523851909725,0.472066039744258,0.3886787243685822,0.0,0.0,0.114,0.3431607142857135,0.0,0.0,0.00014545933705623673,0.00012702773797140693
